
Proving the program took 0.70 seconds

Proving the program took 0.70 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    9	 2100	1.40960		0.6666666666666666	0.475	
    9	 2200	1.40086		0.5888888888888889	0.475	
   10	 2300	1.37925		0.6444444444444445	0.475	
   10	 2400	1.37542		0.6666666666666666	0.485	
   11	 2500	1.36255		0.7	0.55	
   11	 2600	1.31440		0.7333333333333333	0.515	
   12	 2700	1.33369		0.7111111111111111	0.515	
   12	 2800	1.31136		0.6444444444444445	0.515	
   12	 2900	1.34133		0.7	0.515	
   13	 3000	1.27166		0.7555555555555555	0.56	
   13	 3100	1.27389		0.8444444444444444	0.615	
   14	 3200	1.22851		0.8333333333333334	0.615	
   14	 3300	1.24090		0.8444444444444444	0.635	
   14	 3374	1.25322		0.8444444444444444	0.64	

Training 15 epoch (totalling 3375 batches of size 4) took 105.71 seconds
Best val accuracy:0.8444444444444444
